[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		96618 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_3B.py
[runlim] start:			Wed Mar 25 22:04:37 2020
[runlim] main pid:		19186
Choosing inputs [0, 1]
Academic license - for non-commercial use only
Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
[runlim] sample:		37.0 seconds, 91.3 MB
[runlim] sample:		77.0 seconds, 100.9 MB
[runlim] sample:		117.0 seconds, 117.4 MB
[runlim] sample:		157.0 seconds, 133.8 MB
[runlim] sample:		197.0 seconds, 132.6 MB
[runlim] sample:		237.0 seconds, 135.4 MB
[runlim] sample:		277.0 seconds, 137.2 MB
[runlim] sample:		317.0 seconds, 137.4 MB
[runlim] sample:		357.0 seconds, 141.8 MB
[runlim] sample:		396.9 seconds, 144.7 MB
[runlim] sample:		437.3 seconds, 149.3 MB
[runlim] sample:		477.3 seconds, 155.4 MB
[runlim] sample:		517.2 seconds, 158.2 MB
[runlim] sample:		557.2 seconds, 161.2 MB
[runlim] sample:		597.5 seconds, 166.9 MB
[runlim] sample:		637.5 seconds, 168.3 MB
[runlim] sample:		677.5 seconds, 173.9 MB
[runlim] sample:		717.5 seconds, 176.2 MB
[runlim] sample:		757.5 seconds, 179.4 MB
[runlim] sample:		797.5 seconds, 182.2 MB
[runlim] sample:		837.5 seconds, 183.7 MB
[runlim] sample:		877.4 seconds, 188.9 MB
[runlim] sample:		917.4 seconds, 194.6 MB
[runlim] sample:		957.4 seconds, 207.4 MB
[runlim] sample:		997.4 seconds, 209.6 MB
[runlim] sample:		1037.4 seconds, 210.4 MB
[runlim] sample:		1077.4 seconds, 212.5 MB
[runlim] sample:		1117.4 seconds, 216.4 MB
[runlim] sample:		1157.4 seconds, 218.3 MB
[runlim] sample:		1197.4 seconds, 220.0 MB
[runlim] sample:		1237.4 seconds, 224.0 MB
[runlim] sample:		1277.4 seconds, 228.1 MB
[runlim] sample:		1317.4 seconds, 229.8 MB
[runlim] sample:		1357.4 seconds, 231.1 MB
[runlim] sample:		1397.4 seconds, 232.8 MB
