[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		96618 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_1B.py
[runlim] start:			Tue Mar 24 07:41:44 2020
[runlim] main pid:		11869
Choosing inputs [0, 1]
Academic license - for non-commercial use only
Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
[runlim] sample:		76.2 seconds, 101.9 MB
[runlim] sample:		155.8 seconds, 123.0 MB
[runlim] sample:		235.4 seconds, 129.9 MB
[runlim] sample:		315.1 seconds, 136.2 MB
[runlim] sample:		394.7 seconds, 142.8 MB
[runlim] sample:		474.3 seconds, 145.5 MB
[runlim] sample:		553.9 seconds, 146.9 MB
[runlim] sample:		633.5 seconds, 149.7 MB
[runlim] sample:		713.2 seconds, 146.3 MB
[runlim] sample:		792.8 seconds, 162.9 MB
[runlim] sample:		872.4 seconds, 164.8 MB
[runlim] sample:		952.0 seconds, 160.2 MB
[runlim] sample:		1031.6 seconds, 165.5 MB
[runlim] sample:		1111.2 seconds, 167.0 MB
[runlim] sample:		1190.9 seconds, 171.7 MB
[runlim] sample:		1270.5 seconds, 176.0 MB
[runlim] sample:		1350.1 seconds, 179.4 MB
[runlim] sample:		1429.7 seconds, 180.3 MB
[runlim] sample:		1509.3 seconds, 180.3 MB
[runlim] sample:		1588.9 seconds, 183.4 MB
[runlim] sample:		1668.6 seconds, 185.0 MB
[runlim] sample:		1748.2 seconds, 186.1 MB
[runlim] sample:		1827.8 seconds, 187.2 MB
[runlim] sample:		1907.4 seconds, 190.6 MB
[runlim] sample:		1987.0 seconds, 191.1 MB
[runlim] sample:		2066.7 seconds, 191.8 MB
[runlim] sample:		2146.3 seconds, 192.0 MB
[runlim] sample:		2225.9 seconds, 195.8 MB
[runlim] sample:		2305.5 seconds, 196.2 MB
[runlim] sample:		2385.2 seconds, 197.1 MB
[runlim] sample:		2464.8 seconds, 197.7 MB
[runlim] sample:		2544.4 seconds, 197.9 MB
[runlim] sample:		2624.0 seconds, 195.3 MB
[runlim] sample:		2703.7 seconds, 184.6 MB
[runlim] sample:		2783.3 seconds, 187.0 MB
