[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		96618 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_3D.py
[runlim] start:			Mon Mar 30 09:58:16 2020
[runlim] main pid:		39531
Choosing inputs [0, 1, 2, 3]
Academic license - for non-commercial use only
Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
[runlim] sample:		17.8 seconds, 82.9 MB
[runlim] sample:		37.8 seconds, 85.6 MB
[runlim] sample:		57.8 seconds, 94.5 MB
[runlim] sample:		77.8 seconds, 103.0 MB
[runlim] sample:		97.8 seconds, 113.4 MB
[runlim] sample:		117.8 seconds, 118.9 MB
[runlim] sample:		137.7 seconds, 120.6 MB
[runlim] sample:		157.7 seconds, 131.0 MB
[runlim] sample:		177.7 seconds, 133.9 MB
[runlim] sample:		197.7 seconds, 133.8 MB
[runlim] sample:		217.7 seconds, 134.9 MB
[runlim] sample:		237.7 seconds, 133.8 MB
[runlim] sample:		257.7 seconds, 134.3 MB
[runlim] sample:		277.7 seconds, 134.9 MB
[runlim] sample:		297.7 seconds, 137.7 MB
[runlim] sample:		317.7 seconds, 141.2 MB
[runlim] sample:		337.7 seconds, 142.8 MB
[runlim] sample:		357.7 seconds, 143.8 MB
[runlim] sample:		377.7 seconds, 143.4 MB
[runlim] sample:		397.7 seconds, 145.4 MB
[runlim] sample:		417.7 seconds, 146.6 MB
[runlim] sample:		437.7 seconds, 148.5 MB
[runlim] sample:		457.7 seconds, 142.7 MB
[runlim] sample:		477.7 seconds, 143.5 MB
[runlim] sample:		497.7 seconds, 143.9 MB
[runlim] sample:		517.7 seconds, 137.3 MB
[runlim] sample:		537.7 seconds, 137.8 MB
[runlim] sample:		557.7 seconds, 139.2 MB
[runlim] sample:		577.7 seconds, 139.5 MB
[runlim] sample:		597.7 seconds, 139.6 MB
[runlim] sample:		617.7 seconds, 139.9 MB
[runlim] sample:		637.7 seconds, 140.7 MB
[runlim] sample:		657.7 seconds, 139.6 MB
[runlim] sample:		677.7 seconds, 138.0 MB
[runlim] sample:		697.7 seconds, 138.4 MB
[runlim] sample:		717.6 seconds, 140.9 MB
