[runlim] version:		1.7
[runlim] time limit:		311040000 seconds
[runlim] real time limit:	311040000 seconds
[runlim] space limit:		96618 MB
[runlim] argv[0]:		python
[runlim] argv[1]:		attacksynthesis_3A.py
[runlim] start:			Wed Mar 25 16:16:36 2020
[runlim] main pid:		18491
Choosing input 0
Academic license - for non-commercial use only
Warning: Gurobi version mismatch between Python 8.1.1 and C library 8.1.0
[runlim] sample:		74.7 seconds, 92.2 MB
[runlim] sample:		154.3 seconds, 124.1 MB
[runlim] sample:		233.9 seconds, 132.1 MB
[runlim] sample:		313.6 seconds, 147.8 MB
[runlim] sample:		393.2 seconds, 154.4 MB
[runlim] sample:		472.8 seconds, 162.4 MB
[runlim] sample:		552.4 seconds, 168.0 MB
[runlim] sample:		632.0 seconds, 173.9 MB
[runlim] sample:		711.6 seconds, 181.0 MB
[runlim] sample:		791.2 seconds, 188.6 MB
[runlim] sample:		870.9 seconds, 194.8 MB
[runlim] sample:		950.5 seconds, 202.6 MB
[runlim] sample:		1030.1 seconds, 207.1 MB
[runlim] sample:		1109.7 seconds, 211.7 MB
[runlim] sample:		1189.3 seconds, 214.4 MB
[runlim] sample:		1268.9 seconds, 218.8 MB
[runlim] sample:		1348.5 seconds, 222.5 MB
[runlim] sample:		1428.2 seconds, 224.7 MB
[runlim] sample:		1507.8 seconds, 228.5 MB
[runlim] sample:		1587.4 seconds, 230.7 MB
[runlim] sample:		1667.0 seconds, 233.1 MB
[runlim] sample:		1746.6 seconds, 235.6 MB
[runlim] sample:		1826.2 seconds, 237.1 MB
[runlim] sample:		1905.8 seconds, 239.7 MB
[runlim] sample:		1985.5 seconds, 247.2 MB
[runlim] sample:		2065.1 seconds, 253.9 MB
[runlim] sample:		2144.6 seconds, 257.1 MB
[runlim] sample:		2224.2 seconds, 257.8 MB
[runlim] sample:		2303.8 seconds, 259.5 MB
[runlim] sample:		2383.4 seconds, 259.9 MB
[runlim] sample:		2463.0 seconds, 260.5 MB
[runlim] sample:		2542.6 seconds, 261.8 MB
[runlim] sample:		2622.2 seconds, 262.2 MB
[runlim] sample:		2701.9 seconds, 262.8 MB
[runlim] sample:		2781.5 seconds, 263.5 MB
